codigo mun	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab
2906006	74	48	26	65	8	57	30	27	54	3	54	38	16	49	5	63	49	14	60	3	64	49	15	61	3	75	59	16	71	4	48	12	35	42	5	116	69	46	103	12	120	71	49	108	12
2906105	128	89	39	128	0	118	69	49	118	0	118	69	49	118	0	138	79	59	138	0	118	59	59	118	0	138	59	79	138	0	443	384	59	443	0	118	69	49	118	0	128	49	79	128	0
2906204	56	34	22	56	0	67	37	30	67	0	78	45	34	74	4	78	30	48	74	4	130	56	74	127	4	119	45	74	119	0	74	11	63	74	0	104	45	60	104	0	104	45	60	104	0
2906303	121	64	58	112	9	118	58	61	109	9	103	42	61	94	9	109	58	52	91	18	118	70	48	97	21	124	76	48	100	24	103	48	55	82	21	121	67	55	106	15	124	61	64	112	12
2906402	79	34	45	79	0	102	45	57	102	0	113	34	79	113	0	124	45	79	124	0	181	68	113	181	0	147	68	79	147	0	294	238	57	294	0	192	102	91	192	0	170	79	91	170	0
2906501	192	140	51	127	65	149	93	57	97	52	185	115	70	128	57	208	129	79	124	85	220	130	89	137	82	190	103	87	109	80	157	54	104	86	71	225	123	103	161	65	243	137	106	183	60
2906600	101	68	34	101	0	68	34	34	68	0	68	27	41	68	0	47	7	41	47	0	54	14	41	54	0	54	27	27	54	0	68	41	27	68	0	47	14	34	47	0	54	20	34	54	0
2906709	97	41	56	97	0	105	45	60	105	0	101	37	64	101	0	109	37	71	109	0	82	26	56	82	0	82	26	56	82	0	124	56	67	124	0	124	41	82	124	0	109	30	79	109	0
2906808	80	39	41	80	0	72	25	47	72	0	80	39	41	80	0	91	50	41	91	0	91	39	52	88	3	102	52	50	99	3	72	19	52	69	3	108	58	50	105	3	108	50	58	105	3
2906824	116	69	46	116	0	87	40	46	87	0	98	46	52	98	0	104	40	64	104	0	133	64	69	133	0	98	40	58	98	0	144	81	64	144	0	98	46	52	98	0	116	46	69	116	0
2906857	123	57	66	123	0	123	49	74	115	8	90	25	66	82	8	148	57	90	148	0	131	41	90	131	0	115	25	90	115	0	164	74	90	164	0	139	33	107	139	0	180	82	98	180	0
2906873	89	48	41	89	0	96	54	41	92	3	92	45	48	89	3	115	45	70	111	3	127	51	76	124	3	140	54	86	137	3	137	35	102	134	3	156	64	92	150	6	162	67	96	153	10
2906899	102	20	82	102	0	102	31	72	102	0	143	61	82	143	0	133	31	102	133	0	133	41	92	133	0	133	41	92	133	0	460	338	123	460	0	184	61	123	184	0	153	31	123	153	0
