Posição	Código IBGE	Município	População
492º	3537602	Peruíbe	66572
493º	4202305	Biguaçu	66558
494º	4207502	Indaial	66497
495º	2709301	União dos Palmares	66477
496º	4303509	Camaquã	66215
497º	2305233	Horizonte	65928
498º	3555000	Tupã	65758
499º	4322509	Vacaria	65397
500º	2909802	Cruz das Almas	64932
501º	4303905	Campo Bom	64914
502º	4122404	Rolândia	64726
503º	2706703	Penedo	64497
504º	2103604	Coroatá	64403
505º	2614501	Surubim	64373
506º	1501782	Breu Branco	64194
507º	4312401	Montenegro	63868
508º	3149309	Pedro Leopoldo	63837
509º	1304062	Tabatinga	63635
510º	4306106	Cruz Alta	63463
511º	2302602	Camocim	62985
512º	4318309	São Gabriel	62957
513º	2610004	Palmares	62832
514º	4318002	São Borja	62808
515º	5213103	Mineiros	62750
516º	3537305	Penápolis	62738
517º	2208403	Piripiri	62733
518º	2914000	Ipirá	62631
519º	2101707	Barreirinhas	62458
520º	4304705	Carazinho	62339
521º	1503457	Ipixuna do Pará	62237
522º	1302900	Maués	62212
523º	2300200	Acaraú	62199
524º	2503704	Cajazeiras	62187
525º	2609402	Moreno	62119
526º	1304203	Tefé	62021
527º	2928604	Santo Amaro	61961
528º	2910701	Euclides da Cunha	61924
529º	2708600	São Miguel dos Campos	61827
530º	3137601	Lagoa Santa	61752
531º	1508001	Tomé-Açu	61709
532º	2308708	Morada Nova	61548
533º	5105259	Lucas do Rio Verde	61515
534º	3505906	Batatais	61480
535º	4208302	Itapema	61187
536º	1503309	Igarapé-Miri	60994
537º	1501501	Benevides	60990
538º	2601904	Bezerros	60549
539º	2612208	Salgueiro	60453
540º	4110706	Irati	60425
541º	3152105	Ponte Nova	60361
542º	1505809	Portel	60322
543º	2314102	Viçosa do Ceará	60030
544º	3140001	Mariana	59857
545º	2301901	Barbalha	59811
546º	1508308	Viseu	59735
547º	3506359	Bertioga	59297
548º	5107040	Primavera do Leste	59293
549º	5101803	Barra do Garças	58974
550º	2203909	Floriano	58969
551º	2307601	Limoeiro do Norte	58915
552º	2506301	Guarabira	58881
553º	2613008	São Bento do Una	58824
554º	3127107	Frutal	58770
555º	3530300	Mirassol	58760
556º	3519600	Ibitinga	58715
557º	2112506	Tutóia	58605
558º	3304300	Rio Bonito	58272
559º	3533403	Nova Odessa	58227
560º	2400208	Assu	58183
561º	2313302	Tauá	58119
562º	1502939	Dom Eliseu	58071
563º	3301850	Guapimirim	57921
564º	3507001	Boituva	57910
565º	2602803	Buíque	57696
566º	2701407	Campo Alegre	57548
567º	4321204	Taquara	57544
568º	1503804	Jacundá	57526
569º	1508126	Ulianópolis	57525
570º	2702306	Coruripe	57498
571º	1507607	São Miguel do Guamá	57364
572º	3502101	Andradina	57350
573º	3531803	Monte Mor	57240
574º	3169406	Três Pontas	57097
575º	1100288	Rolim de Moura	57074
576º	3300803	Cachoeiras de Macacu	57048
577º	3524006	Itupeva	57031
578º	4128203	União da Vitória	57027
579º	3553708	Taquaritinga	56951
580º	3161106	São Francisco	56805
581º	3151206	Pirapora	56706
582º	2112704	Vargem Grande	56511
583º	1504802	Monte Alegre	56466
584º	2907509	Catu	56459
585º	3542602	Registro	56430
586º	1503903	Juruti	56325
587º	4314050	Parobé	56277
588º	2608909	Limoeiro	56140
589º	4304507	Canguçu	56103
590º	2917607	Jaguaquara	56033
591º	3546801	Santa Isabel	56014
592º	2610608	Paudalho	55942
593º	2902104	Araci	55935
594º	4210100	Mafra	55907
595º	1100114	Jaru	55871
596º	3540705	Porto Ferreira	55432
597º	5206206	Cristalina	55347
598º	1500404	Alenquer	55246
599º	2313500	Trairi	55207
600º	3537800	Piedade	55092
601º	2926608	Ribeira do Pombal	54965
602º	2902708	Barra	54915
603º	4207007	Içara	54845
604º	3549706	São José do Rio Pardo	54734
605º	1302702	Manicoré	54708
606º	5007901	Sidrolândia	54575
607º	3111200	Campo Belo	54458
608º	4203808	Canoinhas	54403
609º	2304707	Granja	54365
610º	3510401	Capivari	54298
611º	3531100	Mongaguá	54257
612º	3524709	Jaguariúna	54204
613º	1500206	Acará	54096
614º	2302404	Boa Viagem	54049
615º	3533908	Olímpia	54037
616º	2928802	Santo Estêvão	53898
617º	3118007	Congonhas	53843
618º	2300309	Acopiara	53572
619º	1301704	Humaitá	53383
620º	4109807	Ibiporã	53356
621º	3138401	Leopoldina	53354
622º	5005707	Naviraí	53188
623º	2302206	Beberibe	53110
624º	2615300	Timbaúba	53083
625º	2905206	Caetité	52853
626º	1502301	Capitão Poço	52839
627º	1718204	Porto Nacional	52828
628º	2515302	Sapé	52697
629º	2304285	Eusébio	52667
630º	5006200	Nova Andradina	52625
631º	2702405	Delmiro Gouveia	52597
632º	2931905	Tucano	52540
633º	3540606	Porto Feliz	52507
634º	5210000	Inhumas	52311
635º	3128709	Guaxupé	52294
636º	2704708	Marechal Deodoro	52260
637º	1508209	Vigia	52216
638º	2807402	Tobias Barreto	52156
639º	4120606	Prudentópolis	52125
640º	4219309	Videira	52066
641º	3503802	Artur Nogueira	51986
642º	2921500	Monte Santo	51953
643º	2306306	Itapajé	51945
644º	1503705	Itupiranga	51835
645º	4114609	Marechal Cândido Rondon	51795
646º	2112803	Viana	51738
647º	3509700	Campos do Jordão	51454
648º	3137205	Lagoa da Prata	51204
649º	2114007	Zé Doca	51084
650º	3203908	Nova Venécia	50991
651º	2919801	Macaúbas	50987
652º	1506187	Rondon do Pará	50925
653º	3549409	São Joaquim da Barra	50921
654º	3131901	Itabirito	50816
655º	1505106	Óbidos	50727
656º	4216206	São Francisco do Sul	50701
657º	4317400	Santiago	50658
658º	3303609	Paracambi	50447
659º	3523206	Itararé	50379
660º	1716109	Paraíso do Tocantins	50360
661º	3556453	Vargem Grande Paulista	50346
662º	5100250	Alta Floresta	50189
663º	3107307	Bocaiuva	50168
664º	2602605	Brejo da Madre de Deus	50138
665º	3107406	Bom Despacho	50042
666º	3531308	Monte Alto	49979
667º	2105708	Lago da Pedra	49856
668º	4219507	Xanxerê	49738
669º	3544103	Rio Grande da Serra	49408
670º	3524808	Jales	49110
671º	1506195	Rurópolis	49093
672º	4117602	Palmas	48990
673º	2925105	Poções	48861
674º	2302503	Brejo Santo	48830
675º	2103406	Coelho Neto	48756
676º	3136306	João Pinheiro	48751
677º	4106407	Cornélio Procópio	48677
678º	5218508	Quirinópolis	48508
679º	4304630	Capão da Canoa	48401
680º	2933604	Xique-Xique	48365
681º	2312403	São Gonçalo do Amarante	48265
682º	3143104	Monte Carmelo	48248
683º	2708006	Santana do Ipanema	48232
684º	3121605	Diamantina‎	48230
685º	5211800	Jaraguá	48216
686º	2602100	Bom Conselho	48214
687º	4113205	Lapa	48067
688º	3508405	Cabreúva	47877
689º	2700409	Atalaia	47744
690º	2913903	Ipiaú	47704
691º	3540200	Pontal	47638
692º	3160702	Santos Dumont	47561
693º	1600279	Laranjal do Jari	47554
694º	4321600	Tramandaí	47521
695º	5001102	Aquidauana	47482
696º	3510203	Capão Bonito	47463
697º	1100106	Guajará-Mirim	47451
698º	1301852	Iranduba	47407
699º	4307609	Estância Velha	47287
700º	2109106	Presidente Dutra	47239
701º	3546405	Santa Cruz do Rio Pardo	47148
702º	2611804	Ribeirão	47088
703º	2921005	Mata de São João	46998
704º	2919504	Livramento de Nossa Senhora	46739
705º	3511508	Cerquilho	46733
706º	2312304	São Benedito	46648
707º	3537107	Pedreira	46598
708º	1502707	Conceição do Araguaia	46571
709º	3528403	Mairinque	46567
710º	2308104	Mauriti	46548
711º	1505486	Pacajá	46383
712º	3514403	Dracena	46324
713º	2201200	Barras	46291
714º	2920601	Maragogipe	46260
715º	1501204	Baião	46110
716º	2202208	Campo Maior	46082
717º	2100907	Araioses	46074
718º	2110500	São Bento	46039
719º	3527306	Louveira	45922
720º	5214606	Niquelândia	45913
721º	3554805	Tremembé	45904
722º	2929503	São Sebastião do Passé	45827
723º	4124103	Santo Antônio da Platina	45819
724º	3536703	Pederneiras	45708
725º	4115804	Medianeira	45586
726º	2929909	Seabra	45568
727º	3163706	São Lourenço	45457
728º	4125605	São Mateus do Sul	45398
729º	5213806	Morrinhos	45382
730º	4209409	Laguna	45311
731º	5218003	Porangatu	45305
732º	3200904	Barra de São Francisco	45283
733º	2614204	Sirinhaém	45263
734º	3535507	Paraguaçu Paulista	45255
735º	2403103	Currais Novos	45228
736º	2508901	Mamanguape	45005
737º	5005400	Maracaju	44994
738º	1302405	Lábrea	44861
739º	1500909	Augusto Corrêa	44734
740º	2709152	Teotônio Vilela	44666
741º	3516705	Garça	44582
742º	4318804	São Lourenço do Sul	44580
743º	1303809	São Gabriel da Cachoeira	44553
744º	4313508	Osório	44468
745º	3545308	Salto de Pirapora	44397
