COD MUN	PIB - 2012	PIB - 2013	PIB - 2014	PIB - 2015	PIB - 2016	ESCOLAS - 2012	ESCOLAS - 2013	ESCOLAS - 2014	ESCOLAS - 2015	ESCOLAS - 2016	POPULACAO - 2012	POPULACAO - 2013	POPULACAO - 2014	POPULACAO - 2015	POPULACAO - 2016
2915106	79075	88518	104397	114068	107395	45	45	45	45	46	12805	13433	13448	13359	13276
2915205	562828	312030	340183	355444	187185	52	52	52	52	52	15088	15829	15871	15767	15669
2915304	66515	88700	91939	107965	108258	25	25	25	25	25	7013	7420	7384	7351	7319
2915353	53322	58933	69148	75935	82810	94	101	104	104	105	13487	14392	14533	14667	14604
2915403	49913	55759	61982	68949	65351	26	35	35	28	36	7118	7507	7428	7353	7284
2915502	224032	233898	226845	255692	267247	51	53	53	48	53	20878	21884	21817	21754	21697
2915601	610297	738590	756718	879172	838539	102	121	122	117	120	63037	67128	67191	67249	67305
2915700	48115	62151	60159	79970	80683	20	27	27	27	27	7836	8259	8534	8514	8495
2915809	143472	169490	194555	209808	220952	51	72	72	41	73	22650	23723	23520	23327	23147
2915908	62076	70580	59517	58239	60750	18	20	20	22	22	7590	8023	8029	8034	8038
2916005	154284	173476	188859	203395	219272	48	49	49	49	49	20015	20735	20671	20611	20554
2916104	161402	183559	193541	200067	209875	32	33	32	34	33	20994	22329	22476	22615	22744
2916203	58294	68839	75173	83329	94674	17	17	17	15	17	10436	10682	10448	10228	10022
2916302	343870	317413	255611	446820	577798	29	47	47	47	47	10398	10942	10910	10882	10856
